Tau,Plain Collisions,Slotted Collisions,Plain Throughput,Slotted Throughput
0.002771,995.23,925.64,0.01321767,0.20605156
0.002781,995,978.5,0.013905,0.0597915
0.002791,995.33,945.3,0.01303397,0.1526677
0.002801,995.26,970.58,0.01327674,0.08240542
0.002811,995.41,978.54,0.01290249,0.06032406
0.002821,995.8,925.9,0.0118482,0.2090361
0.002831,995.48,979.8,0.01279612,0.0571862
0.002841,995.8,930.79,0.0119322,0.19662561
0.002851,995.85,969.39,0.01183165,0.08726911
0.002861,995.74,980.88,0.01218786,0.05470232
0.002871,995.84,920.7,0.01194336,0.2276703
0.002881,995.91,973.61,0.01178329,0.07602959
0.002891,995.99,949.09,0.01159291,0.14718081
0.002901,995.82,962.57,0.01212618,0.10858443
0.002911,996.35,969.15,0.01062515,0.08980435
0.002921,996.27,948.43,0.01089533,0.15063597
0.002931,996.26,981.9,0.01096194,0.0530511
0.002941,996.34,940.64,0.01076406,0.17457776
0.002951,996.4,956.77,0.0106236,0.12757173
0.002961,996.39,959.36,0.01068921,0.12033504
0.002971,996.7,982.66,0.0098043,0.05151714
0.002981,996.55,982.9,0.01028445,0.0509751
0.002991,996.23,929.05,0.01127607,0.21221145
0.003001,996.53,983.14,0.01041347,0.05059686
0.003011,996.74,945.41,0.00981586,0.16437049
0.003021,996.57,972.65,0.01036203,0.08262435
0.003031,996.8,984.01,0.0096992,0.04846569
0.003041,996.86,931.7,0.00954874,0.2077003
0.003051,996.75,982.44,0.00991575,0.05357556
0.003061,996.78,931.99,0.00985642,0.20817861
0.003071,997.09,971.22,0.00893661,0.08838338
0.003081,997.03,984.91,0.00915057,0.04649229
0.003091,997.1,926.38,0.0089639,0.22755942
0.003101,997.1,985.53,0.0089929,0.04487147
0.003111,996.9,951.86,0.0096441,0.14976354
0.003121,997.17,965.06,0.00883243,0.10904774
0.003131,997.25,963.49,0.00861025,0.11431281
0.003141,997.24,985.95,0.00866916,0.04413105
0.003151,997.18,985.68,0.00888582,0.04512232
0.003161,997.51,943.1,0.00787089,0.1798609
0.003171,997.46,985.99,0.00805434,0.04442571
0.003181,997.25,959.39,0.00874775,0.12918041
0.003191,997.37,984.82,0.00839233,0.04843938
0.003201,997.26,987.19,0.00877074,0.04100481
0.003211,997.38,940.42,0.00841282,0.19131138
0.003221,997.4,987.36,0.0083746,0.04071344
0.003231,997.32,945.29,0.00865908,0.17676801
0.003241,997.37,976.45,0.00852383,0.07632555
0.003251,997.48,987.55,0.00819252,0.04047495
0.003261,997.47,935.06,0.00825033,0.21176934
0.003271,997.68,982.44,0.00758872,0.05743876
0.003281,997.88,961.21,0.00695572,0.12726999
0.003291,997.67,973.27,0.00766803,0.08796843
0.003301,997.48,982.92,0.00831852,0.05638108
0.003311,997.63,927.71,0.00784707,0.23935219
0.003321,997.72,988.7,0.00757188,0.0375273
0.003331,997.63,955.01,0.00789447,0.14986169
0.003341,997.81,967.23,0.00731679,0.10948457
0.003351,997.92,972.38,0.00697008,0.09255462
0.003361,997.81,989.28,0.00736059,0.03602992
0.003371,997.81,989.1,0.00738249,0.0367439
0.003381,997.9,943.13,0.0071001,0.19227747
0.003391,997.95,989.84,0.00695155,0.03445256
0.003401,997.92,959.8,0.00707408,0.1367202
0.003411,998.02,984.06,0.00675378,0.05437134
0.003421,998.01,989.62,0.00680779,0.03550998
0.003431,997.91,943.39,0.00717079,0.19422891
0.003441,997.92,990.07,0.00715728,0.03416913
0.003451,997.95,946.94,0.00707455,0.18311006
0.003461,997.95,981.26,0.00709505,0.06485914
0.003471,997.97,990.09,0.00704613,0.03439761
0.003481,998.02,937.2,0.00689238,0.2186068
0.003491,998.2,990.46,0.0062838,0.03330414
