Tau,Plain Collisions,Slotted Collisions
0.00023099999999999946,368.82,252.59
0.00023199999999999946,368.34,283.77
0.00023299999999999946,374.7,272.45
0.00023399999999999945,372.91,253.12
0.00023499999999999945,373.59,266.71
0.00023599999999999945,375.1,282.84
0.00023699999999999945,377.76,273.64
0.00023799999999999944,377.76,252.37
0.00023899999999999944,380.01,266.64
0.00023999999999999944,381.3,287.11
0.00024099999999999943,383.63,281.77
0.00024199999999999943,382.19,260.73
0.00024299999999999943,384.35,279.53
0.00024399999999999943,385.23,292.16
0.00024499999999999945,387.49,288.82
0.0002459999999999995,387.19,264.72
0.0002469999999999995,389.77,292.4
0.0002479999999999995,390.73,299.72
0.00024899999999999955,390.94,305.2
0.00024999999999999957,393.65,260.2
0.0002509999999999996,395.5,310.45
0.0002519999999999996,396.02,287.51
0.00025299999999999964,396.88,263.12
0.00025399999999999967,396.55,269.69
0.0002549999999999997,399.23,311.5
0.0002559999999999997,398.8,295.45
0.00025699999999999974,402.16,267.79
0.00025799999999999977,403.24,278.91
0.0002589999999999998,405.53,313.82
0.0002599999999999998,405.61,299.4
0.00026099999999999984,406.44,274.16
0.00026199999999999986,407.67,289.47
0.0002629999999999999,409.67,322.26
0.0002639999999999999,411.79,302.64
0.00026499999999999994,411.68,275.7
0.00026599999999999996,412.79,293.79
0.000267,413.64,317.74
0.000268,415.68,310.75
0.00026900000000000003,414.52,284.08
0.00027000000000000006,418.67,307.36
0.0002710000000000001,418.14,317.48
0.0002720000000000001,419.35,318.81
0.00027300000000000013,420.44,293.97
0.00027400000000000015,422.34,322.36
0.0002750000000000002,422.42,329.43
0.0002760000000000002,423.16,330.19
0.00027700000000000023,425.9,307.28
0.00027800000000000025,426.25,337.31
0.0002790000000000003,428.69,316.28
0.0002800000000000003,428.64,289.1
0.0002810000000000003,429.01,293.53
0.00028200000000000035,429.42,341.48
0.0002830000000000004,432.63,322.88
0.0002840000000000004,432.09,295.92
0.0002850000000000004,433.95,299.9
0.00028600000000000045,434.74,340.76
0.00028700000000000047,435.88,322.85
0.0002880000000000005,438.3,300.59
0.0002890000000000005,437.6,311.48
0.00029000000000000054,439.9,346.49
0.00029100000000000057,439.86,333.58
0.0002920000000000006,441.84,305.86
0.0002930000000000006,444.24,316.98
0.00029400000000000064,443.5,340.54
0.00029500000000000067,444.21,335.66
0.0002960000000000007,446.62,306.93
0.0002970000000000007,445.8,328.75
0.00029800000000000074,446.46,350.47
